slave;funcao;inicio_bloco;posicao;endereco;estado_a;estado_b;delta;mudou
1;4;10;0;10;200;-300;-500;True
1;4;10;1;11;0;0;0;False
1;4;10;2;12;0;0;0;False
1;4;10;3;13;0;0;0;False
1;4;10;4;14;0;0;0;False
1;4;10;5;15;0;0;0;False
1;4;20;0;20;-220;-220;0;False
1;4;20;1;21;0;0;0;False
1;4;20;2;22;0;0;0;False
1;4;20;3;23;0;0;0;False
1;4;20;4;24;0;0;0;False
1;4;20;5;25;0;0;0;False
1;4;20;6;26;0;0;0;False
1;4;20;7;27;0;0;0;False
1;4;34;0;34;180;180;0;False
1;4;34;1;35;0;0;0;False
1;4;34;2;36;0;0;0;False
1;4;34;3;37;0;0;0;False
1;4;34;4;38;0;0;0;False
1;4;34;5;39;0;0;0;False
1;4;34;6;40;0;0;0;False
1;4;34;7;41;0;0;0;False
1;4;42;0;42;260;260;0;False
1;4;42;1;43;0;0;0;False
1;4;42;2;44;0;0;0;False
1;4;42;3;45;0;0;0;False
1;4;42;4;46;0;0;0;False
1;4;42;5;47;0;0;0;False
1;4;42;6;48;0;0;0;False
1;4;42;7;49;0;0;0;False
1;4;50;0;50;450;450;0;False
1;4;50;1;51;0;0;0;False
1;4;50;2;52;0;0;0;False
1;4;50;3;53;0;0;0;False
1;4;50;4;54;0;0;0;False
1;4;50;5;55;0;0;0;False
1;4;50;6;56;0;0;0;False
1;4;50;7;57;0;0;0;False
1;4;58;0;58;100;100;0;False
1;4;58;1;59;0;0;0;False
1;4;58;2;60;0;0;0;False
1;4;58;3;61;0;0;0;False
1;4;58;4;62;0;0;0;False
1;4;58;5;63;0;0;0;False
1;4;58;6;64;0;0;0;False
1;4;58;7;65;0;0;0;False
1;4;200;0;200;300;300;0;False
1;4;200;1;201;0;0;0;False
1;4;200;2;202;0;0;0;False
1;4;200;3;203;0;0;0;False
1;4;200;4;204;0;0;0;False
1;4;200;5;205;0;0;0;False
1;4;200;6;206;0;0;0;False
1;4;200;7;207;0;0;0;False
1;4;1200;0;1200;400;400;0;False
1;4;1200;1;1201;0;0;0;False
1;4;1200;2;1202;0;0;0;False
1;4;1200;3;1203;0;0;0;False
1;4;1200;4;1204;0;0;0;False
1;4;1200;5;1205;0;0;0;False
1;4;1200;6;1206;0;0;0;False
1;4;1200;7;1207;0;0;0;False
1;4;1208;0;1208;500;500;0;False
1;4;1208;1;1209;0;0;0;False
1;4;1208;2;1210;0;0;0;False
1;4;1208;3;1211;0;0;0;False
1;4;1208;4;1212;0;0;0;False
1;4;1208;5;1213;0;0;0;False
1;4;1208;6;1214;0;0;0;False
1;4;1208;7;1215;0;0;0;False
1;4;1216;0;1216;600;600;0;False
1;4;1216;1;1217;0;0;0;False
1;4;1216;2;1218;0;0;0;False
1;4;1216;3;1219;0;0;0;False
1;4;1216;4;1220;0;0;0;False
1;4;1216;5;1221;0;0;0;False
1;4;1216;6;1222;0;0;0;False
1;4;1216;7;1223;0;0;0;False
2;3;256;0;256;100;100;0;False
2;3;256;1;257;0;0;0;False
2;3;256;2;258;0;0;0;False
2;3;256;3;259;0;0;0;False
2;3;256;4;260;0;0;0;False
2;3;261;0;261;200;200;0;False
2;3;263;0;263;300;300;0;False
2;3;263;1;264;0;0;0;False
2;3;263;2;265;0;0;0;False
2;3;272;0;272;400;400;0;False
2;3;272;1;273;0;0;0;False
2;3;3328;0;3328;500;500;0;False
