timestamp;host;porta;unit_id;funcao;endereco;quantidade;status;codigo_excecao;registros;int16;requisicao_hex;resposta_hex;erro
2026-08-08T02:07:21.930-03:00;192.168.0.250;502;1;3;410;1;EXCECAO;2;[];;00 01 00 00 00 06 01 03 01 9A 00 01;00 01 00 00 00 03 01 83 02;
2026-08-08T02:07:22.014-03:00;192.168.0.250;502;1;3;411;1;EXCECAO;2;[];;00 02 00 00 00 06 01 03 01 9B 00 01;00 02 00 00 00 03 01 83 02;
2026-08-08T02:07:22.016-03:00;192.168.0.250;502;1;3;412;1;EXCECAO;2;[];;00 03 00 00 00 06 01 03 01 9C 00 01;00 03 00 00 00 03 01 83 02;
2026-08-08T02:07:22.021-03:00;192.168.0.250;502;1;3;413;1;EXCECAO;2;[];;00 04 00 00 00 06 01 03 01 9D 00 01;00 04 00 00 00 03 01 83 02;
2026-08-08T02:07:22.025-03:00;192.168.0.250;502;1;3;414;1;EXCECAO;2;[];;00 05 00 00 00 06 01 03 01 9E 00 01;00 05 00 00 00 03 01 83 02;
2026-08-08T02:07:22.027-03:00;192.168.0.250;502;1;3;415;1;EXCECAO;2;[];;00 06 00 00 00 06 01 03 01 9F 00 01;00 06 00 00 00 03 01 83 02;
2026-08-08T02:07:22.031-03:00;192.168.0.250;502;1;3;416;1;EXCECAO;2;[];;00 07 00 00 00 06 01 03 01 A0 00 01;00 07 00 00 00 03 01 83 02;
2026-08-08T02:07:22.034-03:00;192.168.0.250;502;1;3;417;1;EXCECAO;2;[];;00 08 00 00 00 06 01 03 01 A1 00 01;00 08 00 00 00 03 01 83 02;
2026-08-08T02:07:22.037-03:00;192.168.0.250;502;1;3;418;1;EXCECAO;2;[];;00 09 00 00 00 06 01 03 01 A2 00 01;00 09 00 00 00 03 01 83 02;
2026-08-08T02:07:22.040-03:00;192.168.0.250;502;1;3;419;1;EXCECAO;2;[];;00 0A 00 00 00 06 01 03 01 A3 00 01;00 0A 00 00 00 03 01 83 02;
2026-08-08T02:07:22.044-03:00;192.168.0.250;502;1;3;420;1;EXCECAO;2;[];;00 0B 00 00 00 06 01 03 01 A4 00 01;00 0B 00 00 00 03 01 83 02;
2026-08-08T02:07:22.047-03:00;192.168.0.250;502;1;3;421;1;EXCECAO;2;[];;00 0C 00 00 00 06 01 03 01 A5 00 01;00 0C 00 00 00 03 01 83 02;
2026-08-08T02:07:22.055-03:00;192.168.0.250;502;1;3;422;1;EXCECAO;2;[];;00 0D 00 00 00 06 01 03 01 A6 00 01;00 0D 00 00 00 03 01 83 02;
2026-08-08T02:07:22.057-03:00;192.168.0.250;502;1;3;423;1;EXCECAO;2;[];;00 0E 00 00 00 06 01 03 01 A7 00 01;00 0E 00 00 00 03 01 83 02;
2026-08-08T02:07:22.061-03:00;192.168.0.250;502;1;3;424;1;EXCECAO;2;[];;00 0F 00 00 00 06 01 03 01 A8 00 01;00 0F 00 00 00 03 01 83 02;
2026-08-08T02:07:22.063-03:00;192.168.0.250;502;1;3;425;1;EXCECAO;2;[];;00 10 00 00 00 06 01 03 01 A9 00 01;00 10 00 00 00 03 01 83 02;
2026-08-08T02:07:22.066-03:00;192.168.0.250;502;1;3;426;1;EXCECAO;2;[];;00 11 00 00 00 06 01 03 01 AA 00 01;00 11 00 00 00 03 01 83 02;
2026-08-08T02:07:22.069-03:00;192.168.0.250;502;1;3;427;1;EXCECAO;2;[];;00 12 00 00 00 06 01 03 01 AB 00 01;00 12 00 00 00 03 01 83 02;
2026-08-08T02:07:22.072-03:00;192.168.0.250;502;1;3;428;1;EXCECAO;2;[];;00 13 00 00 00 06 01 03 01 AC 00 01;00 13 00 00 00 03 01 83 02;
2026-08-08T02:07:22.075-03:00;192.168.0.250;502;1;3;429;1;EXCECAO;2;[];;00 14 00 00 00 06 01 03 01 AD 00 01;00 14 00 00 00 03 01 83 02;
