Data;Hora;Modo;Agressividade (%);CH1 Câmara (°C);CH2 Evaporador (°C);CH3 Sucção (PSI);CH4 Descarga (PSI);CH5 Óleo (PSI)
02/08/2026;14:11:41;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:11:46;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:11:52;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:11:57;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:02;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:08;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:13;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:19;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:24;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:29;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:35;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:40;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:46;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:51;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:12:56;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:01;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:07;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:12;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:18;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:23;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:28;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:34;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:39;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:44;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:49;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:13:54;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:00;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:05;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:10;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:16;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:21;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:26;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:31;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:37;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:42;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:47;FIXO;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:52;RAMPA DE SUBIDA;20;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:14:57;RAMPA DE SUBIDA;40;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:15:03;RAMPA DE SUBIDA;50;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:15:08;RAMPA DE DESCIDA;50;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:15:13;RAMPA DE DESCIDA;50;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:15:19;RAMPA DE DESCIDA;50;20,00;15,00;90,00;100,00;90,00
02/08/2026;14:15:24;RAMPA DE SUBIDA;50;20,61;15,92;96,10;118,31;99,15
02/08/2026;14:15:29;RAMPA DE SUBIDA;50;21,71;17,56;107,09;151,28;115,64
02/08/2026;14:15:34;RAMPA DE SUBIDA;60;22,77;19,15;117,68;183,04;131,52
02/08/2026;14:15:39;RAMPA DE SUBIDA;70;24,01;21,01;130,05;220,15;150,08
02/08/2026;14:15:45;RAMPA DE DESCIDA;70;23,27;19,90;122,70;198,10;139,05
02/08/2026;14:15:50;RAMPA DE DESCIDA;70;22,01;18,02;110,14;160,43;120,21
02/08/2026;14:15:55;RAMPA DE DESCIDA;50;20,81;16,21;98,09;124,27;102,13
02/08/2026;14:16:01;RAMPA DE DESCIDA;90;19,49;14,24;84,91;84,74;82,37
02/08/2026;14:16:06;RAMPA DE DESCIDA;90;18,00;12,00;70,03;40,10;60,05
02/08/2026;14:16:11;ALEATÓRIO;90;18,47;11,59;72,20;20,05;57,54
02/08/2026;14:16:17;ALEATÓRIO;90;19,20;12,08;70,57;22,10;61,85
02/08/2026;14:16:22;SENOIDAL;90;33,56;39,91;122,60;408,66;163,47
02/08/2026;14:16:28;SENOIDAL;90;-28,21;-35,60;19,64;65,48;26,19
02/08/2026;14:16:33;SENOIDAL;90;11,72;13,21;86,20;287,34;114,94
02/08/2026;14:16:38;DEGRAU;90;-40,00;-50,00;0,00;0,00;0,00
02/08/2026;14:16:43;DEGRAU;90;50,00;60,00;150,00;500,00;200,00
