data_hora;compressor;degelo;agressividade;temperatura_camara;temperatura_evaporador;pressao_succao;pressao_descarga;pressao_oleo
2026-08-02T12:50:00;False;False;20;20.07;15.82;92.52;101.43;90.26
2026-08-02T12:50:06;False;False;20;20.14;16.51;94.55;102.51;90.84
2026-08-02T12:50:11;False;False;20;20.22;17.06;95.95;103.13;91.49
2026-08-02T12:50:16;False;False;20;20.27;17.53;97.40;103.85;92.30
2026-08-02T12:50:22;False;False;20;20.33;17.98;98.47;104.23;93.23
2026-08-02T12:50:28;False;False;20;20.40;18.38;100.04;105.16;94.23
2026-08-02T12:50:33;False;False;20;20.46;18.70;100.46;105.05;95.18
2026-08-02T12:50:38;False;False;20;20.52;18.96;101.33;105.47;96.02
2026-08-02T12:50:44;False;False;20;20.57;19.19;101.70;105.43;96.87
2026-08-02T12:50:49;False;False;20;20.64;19.43;102.78;106.10;97.76
2026-08-02T12:50:55;False;False;20;20.69;19.61;103.79;106.77;98.59
2026-08-02T12:51:00;False;False;20;20.75;19.80;104.75;107.41;99.53
2026-08-02T12:51:06;False;False;20;20.80;19.94;105.57;107.95;100.40
2026-08-02T12:51:11;False;False;20;20.84;20.07;106.06;108.20;101.22
2026-08-02T12:51:16;False;False;20;20.86;20.15;106.37;108.29;101.98
2026-08-02T12:51:22;False;False;20;20.92;20.27;107.06;108.78;102.67
2026-08-02T12:51:42;False;False;20;20.05;15.73;92.02;101.03;90.20
2026-08-02T12:51:47;False;False;20;20.12;16.39;93.84;101.95;90.63
2026-08-02T12:57:53;False;False;20;20.07;15.76;91.89;100.90;90.17
2026-08-02T12:57:58;False;False;20;20.13;16.40;93.55;101.65;90.58
2026-08-02T12:58:03;False;False;20;20.18;16.95;95.41;102.71;91.17
2026-08-02T13:05:09;False;False;20;20.05;15.76;91.92;100.74;90.07
2026-08-02T13:05:14;False;False;20;20.10;16.41;93.98;101.52;90.53
2026-08-02T13:05:20;False;False;20;20.16;16.92;95.58;102.77;91.10
2026-08-02T13:05:25;False;False;20;20.22;17.45;97.00;104.04;92.08
2026-08-02T13:05:30;False;False;20;20.27;17.85;98.49;103.76;92.71
2026-08-02T13:07:33;False;False;20;20.05;15.73;92.08;100.73;90.30
2026-08-02T13:07:38;False;False;20;20.10;16.36;93.72;102.32;90.66
2026-08-02T13:07:44;False;False;20;20.15;16.94;95.51;102.27;91.16
2026-08-02T13:07:49;False;False;20;20.21;17.40;96.90;103.57;92.05
2026-08-02T13:07:54;False;False;20;20.26;17.82;98.03;103.80;92.88
2026-08-02T13:07:59;False;False;20;20.31;18.18;99.52;104.56;93.72
2026-08-02T13:08:04;False;False;20;20.37;18.48;100.38;105.10;94.61
2026-08-02T13:08:10;False;False;20;20.42;18.80;101.55;105.33;95.60
2026-08-02T13:08:15;False;False;20;20.47;19.04;102.41;105.79;96.64
