Endereco,Valor
0,17920
1,19200
2,20480
3,21760
4,0
9,0
10,21760
15,0
16,21760
25,0
26,1280
27,2560
28,3840
29,5120
30,6400
31,7680
32,8960
33,10240
34,11520
37,14080
38,21760
43,0
44,21760
51,0
52,21760
57,0
58,21760
68,0
69,21760
74,0
81,0
82,21760
87,0
98,0
99,1280
100,2560
101,3840
102,5120
103,6400
104,7680
105,8960
106,10240
107,11520
108,12800
109,14080
110,15360
111,16640
112,17920
113,19200
114,20480
115,21760
122,0
123,21760
128,0
129,21760
134,0
135,21760
142,0
143,21760
150,0
151,21760
156,0
157,21760
166,0
173,0
174,21760
183,0
184,21760
196,21760
205,21760
211,0
213,21760
224,0
225,1280
226,2560
227,3840
228,5120
229,6400
230,7680
231,8960
232,10240
233,11520
234,12800
235,14080
236,15360
237,16640
238,17920
239,19200
240,20480
241,21760
250,0
251,1280
252,2560
253,3840
254,5120
255,6400
256,7680
257,8960
258,10240
259,11520
260,12800
261,14080
262,15360
263,16640
264,17920
265,19200
266,20480
267,21760
272,0
273,21760
276,0
278,0
279,0
280,0
281,21760
288,0
289,0
290,21760
295,0
296,21760
303,0
304,0
305,0
310,0
311,0
312,1280
313,0
315,3840
316,5120
317,6400
318,7680
319,8960
320,10240
321,11520
322,12800
323,14080
324,15360
325,16640
326,17920
327,19200
328,20480
329,21760
336,0
337,20480
338,21760
342,0
343,0
344,0
345,1280
346,2560
347,3840
348,5120
351,6400
352,0
353,0
354,8960
355,10240
356,11520
357,12800
358,14080
359,15360
360,16640
361,17920
362,19200
363,20480
364,21760
369,0
370,21760
375,0
376,21760
384,208
385,0
386,1280
387,2560
388,3840
389,5120
390,6400
391,7680
392,8960
393,10240
394,11520
395,12800
396,14080
397,0
398,227
399,16640
400,17920
401,19200
402,20480
403,21760
408,0
409,21760
416,21760
421,0
430,0
431,21760
436,0
437,21760
442,0
452,21760
462,21760
467,0
468,21760
475,0
476,21760
481,0
482,21760
487,0
496,0
497,21760
502,0
509,0
510,21760
515,0
516,21760
518,0
521,0
522,0
523,0
524,21760
525,0
526,0
530,0
531,21760
536,0
545,0
546,0
547,20480
548,21760
553,0
554,0
555,0
559,0
560,0
561,0
562,21760
563,0
573,0
574,21760
576,0
579,0
580,0
581,0
582,21760
583,0
584,0
585,0
586,0
588,0
589,0
590,0
591,21760
596,0
597,21760
602,0
603,21760
608,0
609,21760
611,0
612,0
615,0
616,21760
621,0
622,21760
625,16640
626,17920
627,19200
628,20480
629,21760
638,0
639,21760
644,0
645,21760
649,0
650,0
651,0
652,21760
658,0
659,21760
668,0
670,21760
675,1
680,0
681,21760
686,0
687,20480
688,21760
695,0
702,0
703,21760
712,0
713,21760
726,0
727,21760
734,0
735,21760
744,0
745,21760
752,0
759,0
760,21760
767,0
768,21760
773,0
774,21760
779,0
783,6400
784,7680
785,8960
786,10240
787,11520
788,12800
789,14080
790,15360
791,16640
792,17920
793,19200
794,20480
795,21760
801,0
802,20480
803,21760
810,0
811,21760
817,0
818,20480
819,21760
828,0
829,1280
830,2560
831,3840
832,5120
833,6400
834,7680
835,8960
836,10240
837,11520
838,12800
839,14080
840,15360
841,16640
842,17920
843,19200
844,20480
845,21760
850,0
851,0
852,0
857,0
864,0
865,0
866,1280
867,2560
868,3840
869,5120
870,0
871,6400
872,7680
873,8960
874,10240
875,11520
876,12800
877,14080
878,15360
879,16640
880,17920
881,19200
882,20480
883,21760
892,0
893,21760
898,0
899,21760
904,0
913,0
925,0
932,0
939,0
940,21760
949,0
950,21760
955,0
964,0
965,21760
972,0
973,21760
978,0
979,21760
984,0
985,21760
990,0
991,21760
996,0
1006,0
1007,21760
1013,0
1020,0
1021,21760
1025,0
1026,0
1027,0
1028,21760
1030,0
1034,0
1035,21760
1037,0
1040,0
1041,21760
1046,0
1047,21760
1051,0
1052,0
1053,0
1054,21760
1059,0
1060,0
1061,0
1066,0
1067,20480
1068,21760
1073,0
1074,0
1075,20480
1076,21760
1078,0
1079,0
1082,0
1083,21760
1088,0
1089,21760
1093,0
1094,0
1095,0
1096,21760
1098,0
1099,0
1102,0
1103,21760
1108,0
1109,0
1110,0
1114,0
1115,0
1116,0
1117,21760
1118,0
1122,0
1123,21760
1128,0
1129,21760
1136,0
1137,20480
1138,21760
1146,21760
1155,0
1157,21760
1162,0
1163,21760
1170,0
1171,21760
1178,0
1179,21760
1184,0
1185,21760
1190,0
1191,21760
1200,0
1201,21760
1211,0
1212,1280
